Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
32.42735346,2.0133934,-0.8063401017,2.572183734,3.364530651
32.43735346,2.501644093,-1.106827637,2.965731753,4.034706361
32.44735346,3.027591786,-1.721555213,3.063800669,4.638635458
32.45735246,3.774625626,-2.464998716,3.285176253,5.578207624
32.46735246,4.845150824,-2.798151721,3.698801272,6.707180512
32.47735246,5.503370136,-3.005810907,3.776324242,7.320014129
32.48735146,5.885500297,-3.22794663,3.554196705,7.595463607
32.49735146,6.346851459,-3.02968275,3.148411049,7.70545217
32.50735146,6.452576135,-2.7014072,2.358738728,7.38220753
32.51735146,6.345320073,-2.600169677,1.539851378,7.028165582
32.52735046,6.640436649,-2.072122103,1.050181566,7.035052965
32.53735046,6.996629146,-1.779052054,0.6303070432,7.246732545
32.54735046,7.517434797,-1.758554201,0.2184706879,7.72347514
32.55735046,8.302913495,-1.815382851,0.4673404652,8.511897233
32.56734946,9.01407876,-1.969939379,1.18878455,9.303090118
32.57734946,9.621520266,-2.14083098,1.660440845,9.995692738
32.58734946,10.20950165,-2.468793266,1.907278131,10.67551283
32.59734846,10.90622079,-2.665640658,2.135289136,11.4285061
32.60734846,11.22063259,-2.97300218,2.169163225,11.80875128
32.61734846,10.98580724,-3.08444134,1.881125874,11.56461732
32.62734846,10.90180263,-3.055704029,1.672006053,11.44474692
32.63734746,11.10388591,-3.013821301,1.78334581,11.64301179
32.64734746,11.20870544,-2.986006973,1.876046982,11.75035606
32.65734746,11.3803411,-3.104462791,1.963068169,11.95840664
32.66734646,11.5618644,-3.263407069,2.232776254,12.21932175
32.67734646,11.47378545,-3.322118085,2.262666636,12.15746197
32.68734646,10.96385211,-3.551216087,2.20318525,11.73333772
32.69734646,10.54258128,-3.624446908,2.183502352,11.3600316
32.70734546,10.15301287,-3.331786456,1.784593021,10.83370867
32.71734546,9.664514843,-3.207148084,0.7782182103,10.21245659
32.72734546,9.159352248,-3.194259067,-0.1620941734,9.701716297
32.73734446,8.6924474,-3.089269386,-0.534151336,9.240538122
32.74734446,7.960060251,-3.313489349,-0.4551583761,8.634172804
32.75734446,7.2674406,-3.860945731,-0.06897434056,8.22966295
32.76734446,6.008413448,-4.424931316,1.094615142,7.541832113
32.77734346,4.453364279,-4.496716413,2.56776967,6.829813539
32.78734346,3.24873816,-4.276232529,3.553264074,6.439421546
32.79734346,2.78094395,-3.892471872,3.822709619,6.123568842
32.80734246,2.721095652,-3.259450259,3.153396385,5.288883275
32.81734246,2.839946449,-2.761147032,1.939600954,4.410360601
32.82734246,3.01797107,-2.269701859,0.6570738423,3.832941682
32.83734246,3.24482111,-1.614528216,-0.5754227382,3.669697089
32.84734146,3.582408059,-0.9660176209,-1.584718818,4.034621578
32.85734146,3.727885615,-0.7079671302,-1.978804196,4.279487664
32.86734146,2.900310765,-1.215819006,-1.784481924,3.615853167
32.87734146,2.0055536,-1.793152322,-0.7191204017,2.7847396
32.88734046,1.737809303,-1.899472682,0.7333460927,2.676896362
32.89734046,0.8824563045,-2.484180507,2.020739842,3.32163686
32.90734046,0.3081209657,-3.141757794,2.898359549,4.285565149
32.91733946,-0.7596951082,-3.626628504,3.967711211,5.428839952
32.92733946,-2.789761552,-4.040705513,5.607290946,7.453306803
32.93733946,-3.713294765,-4.004887809,6.634099436,8.592959892
32.94733946,-4.816507654,-3.86410849,6.398022197,8.89183718
32.95733846,-6.142080213,-3.81332016,4.74431559,8.647259127
32.96733846,-6.977454371,-3.625147405,1.462206202,7.997787831
32.97733846,-7.335776424,-3.147166761,-2.803956837,8.460522934
32.98733746,-7.226631128,-2.558478152,-6.951295098,10.34845454
