"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.856951958E0,1.032725288E0,-2.353094995E-1,-3.364845736E0,3.527616605E0
2.866951958E0,1.145537301E0,-2.195772734E-1,-3.264521549E0,3.466636818E0
2.876951958E0,1.256432450E0,-2.232820693E-1,-2.830248842E0,3.104639414E0
2.886951958E0,1.257828327E0,-2.067452663E-1,-2.188874774E0,2.532992002E0
2.896951958E0,1.115969320E0,-2.236136064E-1,-1.245016639E0,1.686848244E0
2.906951958E0,9.117634995E-1,-2.795553803E-1,-1.790125072E-1,9.703140561E-1
2.916950958E0,7.442715421E-1,-4.523107821E-1,6.016188490E-1,1.058522750E0
2.926950958E0,6.321445307E-1,-8.074037102E-1,8.509628356E-1,1.332533379E0
2.936950958E0,4.190195867E-1,-1.102906787E0,7.562777030E-1,1.401405280E0
2.946950958E0,8.551099733E-2,-1.124781513E0,6.212994075E-1,1.287811530E0
2.956950958E0,-1.903213877E-1,-1.020466893E0,4.889570367E-1,1.147455400E0
2.966950958E0,-3.543682388E-1,-9.803269270E-1,3.375223374E-1,1.095691134E0
2.976950958E0,-4.093573552E-1,-1.015137156E0,2.556198031E-1,1.124018849E0
2.986950958E0,-3.280908517E-1,-9.426430839E-1,8.163356245E-2,1.001440777E0
2.996949958E0,-1.428628273E-2,-7.131425008E-1,-1.749358284E-1,7.344241747E-1
3.006949958E0,5.535792216E-1,-3.543971094E-1,-2.365923786E-1,6.985865869E-1
3.016949958E0,8.187755945E-1,-6.311192214E-2,-1.076092333E-1,8.282248100E-1
3.026949958E0,8.194939249E-1,-3.975200325E-2,-1.078928232E-1,8.275212239E-1
3.036949958E0,8.428102820E-1,-1.086909682E-1,-2.477740091E-1,8.851750435E-1
3.046949958E0,6.006239453E-1,-1.039415672E-1,-4.168544358E-1,7.384582545E-1
3.056949958E0,2.842275980E-1,8.154994726E-2,-6.850486761E-1,7.461416823E-1
